순위,3년전_종목(테마),3년전_시가총액(비율),2년전_종목(테마),2년전_시가총액(비율),1년전_종목(테마),1년전_시가총액(비율),오늘_종목(테마),오늘_시가총액(비율)
1,NVIDIA Corporation(AI 반도체),4조(17%),NVIDIA Corporation(AI 반도체),4조(17%),NVIDIA Corporation(AI 반도체),4조(17%),NVIDIA Corporation(AI 반도체),4조(17%)
2,Microsoft Corporation(클라우드),3조(14%),Microsoft Corporation(클라우드),3조(14%),Microsoft Corporation(클라우드),3조(14%),Microsoft Corporation(클라우드),3조(14%)
3,Apple Inc.(스마트폰),3조(14%),Apple Inc.(스마트폰),3조(14%),Apple Inc.(스마트폰),3조(14%),Apple Inc.(스마트폰),3조(14%)
4,"Amazon.com, Inc.(전자상거래)",2조(8%),"Amazon.com, Inc.(전자상거래)",2조(8%),"Amazon.com, Inc.(전자상거래)",2조(8%),"Amazon.com, Inc.(전자상거래)",2조(8%)
5,Broadcom Inc.(반도체),1조(6%),Broadcom Inc.(반도체),1조(6%),Broadcom Inc.(반도체),1조(6%),Broadcom Inc.(반도체),1조(6%)
6,"Meta Platforms, Inc.(소셜미디어)",1조(5%),"Meta Platforms, Inc.(소셜미디어)",1조(5%),"Meta Platforms, Inc.(소셜미디어)",1조(5%),"Meta Platforms, Inc.(소셜미디어)",1조(5%)
7,"Tesla, Inc.(전기차)",1조(5%),"Tesla, Inc.(전기차)",1조(5%),"Tesla, Inc.(전기차)",1조(5%),"Tesla, Inc.(전기차)",1조(5%)
8,Alphabet Inc.(디지털 광고),1조(5%),Alphabet Inc.(디지털 광고),1조(5%),Alphabet Inc.(디지털 광고),1조(5%),Alphabet Inc.(디지털 광고),1조(5%)
9,JP Morgan Chase & Co.(금융 서비스),0조(3%),JP Morgan Chase & Co.(금융 서비스),0조(3%),JP Morgan Chase & Co.(금융 서비스),0조(3%),JP Morgan Chase & Co.(금융 서비스),0조(3%)
10,Eli Lilly and Company(제약),0조(2%),Eli Lilly and Company(바이오제약),0조(2%),Eli Lilly and Company(제약),0조(2%),Eli Lilly and Company(바이오제약),0조(2%)
11,Berkshire Hathaway Inc. New(투자지주회사),0조(2%),Berkshire Hathaway Inc. New(투자지주회사),0조(2%),Berkshire Hathaway Inc. New(투자지주회사),0조(2%),Berkshire Hathaway Inc. New(투자지주회사),0조(2%)
12,Visa Inc.(결제 시스템),0조(2%),Visa Inc.(결제 시스템),0조(2%),Visa Inc.(결제 시스템),0조(2%),Visa Inc.(결제 시스템),0조(2%)
13,Mastercard Incorporated(결제 시스템),0조(1%),Mastercard Incorporated(결제 시스템),0조(1%),Mastercard Incorporated(결제 시스템),0조(1%),Mastercard Incorporated(결제 시스템),0조(1%)
14,Exxon Mobil Corporation(에너지),0조(1%),Exxon Mobil Corporation(에너지),0조(1%),Exxon Mobil Corporation(에너지),0조(1%),Exxon Mobil Corporation(에너지),0조(1%)
15,Johnson & Johnson(헬스케어),0조(1%),Johnson & Johnson(헬스케어),0조(1%),Johnson & Johnson(헬스케어),0조(1%),Johnson & Johnson(헬스케어),0조(1%)
16,AbbVie Inc.(제약),0조(1%),AbbVie Inc.(제약),0조(1%),AbbVie Inc.(제약),0조(1%),AbbVie Inc.(제약),0조(1%)
17,"Home Depot, Inc. (The)(주택 개조)",0조(1%),"Home Depot, Inc. (The)(주택 개조)",0조(1%),"Home Depot, Inc. (The)(주택 개조)",0조(1%),"Home Depot, Inc. (The)(주택 개조)",0조(1%)
18,Procter & Gamble Company (The)(소비재),0조(1%),Procter & Gamble Company (The)(소비재),0조(1%),Procter & Gamble Company (The)(소비재),0조(1%),Procter & Gamble Company (The)(소비재),0조(1%)
19,UnitedHealth Group Incorporated(헬스케어),0조(1%),UnitedHealth Group Incorporated(헬스케어),0조(1%),UnitedHealth Group Incorporated(헬스케어),0조(1%),UnitedHealth Group Incorporated(헬스케어),0조(1%)
20,Chevron Corporation(에너지),0조(1%),Chevron Corporation(에너지),0조(1%),Chevron Corporation(에너지),0조(1%),Chevron Corporation(에너지),0조(1%)
